playerID,yearID,AB,R,H,2B,3B,HR,RBI,BB,SO,IBB,HBP,SF,OBP,SLG,OPS,OPS+,Result
duvalad01,2016,552,85,133,31,6,33,103,41,164,1,6,8,0.297,0.498,0.795,112,0.301
duvalad01,2017,587,78,146,37,3,31,99,39,170,1,10,11,0.301,0.48,0.782,106,0.274
dyeje01,1999,608,96,179,44,8,27,119,58,119,4,1,6,0.354,0.526,0.88,124,0.39
dyeje01,2000,601,107,193,41,2,33,118,69,99,6,3,6,0.39,0.561,0.951,141,0.333
dyeje01,2001,232,41,69,17,1,13,59,27,44,3,1,5,0.366,0.547,0.913,138,0.333
dyeje01,2001,367,50,100,14,0,13,47,30,68,3,6,6,0.333,0.417,0.749,98,0.366
dyeje01,2002,488,74,123,27,1,24,86,52,108,2,10,5,0.333,0.459,0.792,111,0.261
dyeje01,2003,221,28,38,6,0,4,20,25,42,2,3,4,0.261,0.253,0.514,38,0.329
dyeje01,2004,532,87,141,29,4,23,80,49,128,4,4,5,0.329,0.464,0.793,107,0.333
dyeje01,2005,529,74,145,29,2,31,86,39,99,3,9,2,0.333,0.512,0.846,123,0.385
dyeje01,2006,539,103,170,27,3,44,120,59,118,4,6,7,0.385,0.622,1.006,158,0.317
dyeje01,2007,508,68,129,34,0,28,78,45,107,2,4,4,0.317,0.486,0.804,109,0.344
dyeje01,2008,590,96,172,41,2,34,96,44,104,3,6,5,0.344,0.541,0.885,133,0.34
dyeje01,2009,503,78,126,19,1,27,81,64,108,2,5,2,0.34,0.453,0.793,110,0.328
dysonja01,2012,292,52,76,8,5,0,9,30,56,1,1,3,0.328,0.322,0.65,82,0.326
dysonja01,2013,213,30,55,9,4,2,17,21,45,1,1,1,0.326,0.366,0.692,95,0.324
dysonja01,2014,260,33,70,4,4,1,24,22,52,0,0,2,0.324,0.327,0.651,88,0.311
dysonja01,2015,200,31,50,8,6,2,18,14,37,0,4,1,0.311,0.38,0.691,92,0.34
dysonja01,2016,299,46,83,14,8,1,25,26,39,2,3,1,0.34,0.388,0.728,99,0.324
dysonja01,2017,346,56,87,13,3,5,30,28,55,2,10,2,0.324,0.35,0.674,82,0.282
dysonja01,2018,206,29,39,4,2,2,12,27,34,2,0,1,0.282,0.257,0.539,52,0.313
easleda01,1999,549,83,146,30,1,20,65,51,124,2,19,6,0.346,0.434,0.779,100,0.35
easleda01,2000,464,76,120,27,2,14,58,55,79,1,11,1,0.35,0.416,0.766,97,0.323
easleda01,2001,585,77,146,27,7,11,65,52,90,3,13,4,0.323,0.376,0.699,85,0.307
easleda01,2002,304,29,68,14,1,8,30,27,43,3,11,3,0.307,0.355,0.663,78,0.331
easleda01,2004,223,26,53,20,1,9,43,24,36,1,8,2,0.331,0.457,0.788,106,0.312
easleda01,2005,267,37,64,19,1,9,30,26,47,3,4,4,0.312,0.419,0.732,95,0.322
easleda01,2008,316,33,85,10,2,6,44,19,38,0,7,3,0.322,0.37,0.692,86,0.314
eatonad02,2013,250,40,63,10,4,3,22,17,44,0,6,1,0.314,0.36,0.674,90,0.362
eatonad02,2014,486,76,146,26,10,1,35,43,83,0,5,2,0.362,0.401,0.763,119,0.361
eatonad02,2015,610,98,175,28,9,14,56,58,131,2,14,2,0.361,0.431,0.792,120,0.362
eatonad02,2016,619,91,176,29,9,14,59,63,115,2,14,3,0.362,0.428,0.79,115,0.394
eatonad02,2018,319,55,96,18,1,5,33,38,64,0,11,0,0.394,0.411,0.805,124,0.365
eckstda01,2001,582,82,166,26,2,4,41,43,60,0,21,2,0.355,0.357,0.712,91,0.363
eckstda01,2002,608,107,178,22,6,8,63,45,44,0,27,8,0.363,0.388,0.752,103,0.325
eckstda01,2003,452,59,114,22,1,3,31,36,45,0,15,4,0.325,0.325,0.651,75,0.339
eckstda01,2004,566,92,156,24,1,2,35,42,49,1,13,2,0.339,0.332,0.671,79,0.363
eckstda01,2005,630,90,185,26,7,8,61,58,44,0,13,4,0.363,0.395,0.758,104,0.35
eckstda01,2006,500,68,146,18,1,2,23,31,41,0,15,3,0.35,0.344,0.694,83,0.356
eckstda01,2007,434,58,134,23,0,3,31,24,22,0,12,7,0.356,0.382,0.739,96,0.354
eckstda01,2008,260,27,72,18,0,1,23,24,27,1,8,2,0.354,0.358,0.711,92,0.323
eckstda01,2009,503,64,131,27,2,2,51,39,46,1,9,4,0.323,0.334,0.657,77,0.321
eckstda01,2010,442,49,118,23,0,1,29,27,35,0,9,2,0.321,0.326,0.647,80,0.339
edmonji01,1999,204,34,51,17,2,5,23,28,45,0,0,1,0.339,0.426,0.766,96,0.411
edmonji01,2000,525,129,155,25,0,42,108,103,167,3,6,8,0.411,0.583,0.994,153,0.41
edmonji01,2001,500,95,152,38,1,30,110,93,136,12,4,10,0.41,0.564,0.974,156,0.42
edmonji01,2002,476,96,148,31,2,28,83,86,134,14,8,6,0.42,0.561,0.981,161,0.385
edmonji01,2003,447,89,123,32,2,39,89,77,127,6,4,2,0.385,0.617,1.002,162,0.418
edmonji01,2004,498,102,150,38,3,42,111,101,150,12,5,8,0.418,0.643,1.061,175,0.385
edmonji01,2005,467,88,123,37,1,29,89,91,139,10,4,4,0.385,0.533,0.918,144,0.35
edmonji01,2006,350,52,90,18,0,19,70,53,101,7,0,5,0.35,0.471,0.822,113,0.325
edmonji01,2007,365,39,92,15,2,12,53,41,75,2,0,3,0.325,0.403,0.728,92,0.369
edmonji01,2008,250,47,64,17,2,19,49,45,58,2,1,2,0.369,0.568,0.937,147,0.35
edmonji01,2010,217,38,62,21,0,8,20,21,53,0,1,1,0.35,0.493,0.843,130,0.373
ellisaj01,2012,423,44,114,20,1,13,52,65,107,11,7,4,0.373,0.414,0.786,119,0.318
ellisaj01,2013,390,43,93,17,1,10,52,45,78,1,3,6,0.318,0.364,0.682,92,0.323
ellisaj01,2014,283,21,54,9,0,3,25,53,57,5,4,4,0.323,0.254,0.577,69,0.359
ellisma01,2002,345,58,94,16,4,6,35,44,54,1,4,3,0.359,0.394,0.753,103,0.313
ellisma01,2003,553,78,137,31,5,9,52,48,94,4,7,5,0.313,0.371,0.684,82,0.384
ellisma01,2005,434,76,137,21,5,13,52,44,51,1,4,0,0.384,0.477,0.861,130,0.319
ellisma01,2006,441,64,110,25,1,11,52,40,76,1,8,7,0.319,0.385,0.704,84,0.336
ellisma01,2007,583,84,161,33,3,19,76,44,94,1,10,3,0.336,0.441,0.777,104,0.321
ellisma01,2008,442,55,103,20,3,12,41,53,65,2,5,2,0.321,0.373,0.694,86,0.305
ellisma01,2009,377,52,99,23,0,10,61,23,54,1,2,5,0.305,0.403,0.708,88,0.358
ellisma01,2010,436,45,127,24,0,5,49,40,56,4,8,5,0.358,0.381,0.739,105,0.317
ellisma01,2011,263,34,72,13,0,6,25,14,43,0,3,1,0.317,0.392,0.708,97,0.253
ellisma01,2011,217,21,47,11,1,1,16,8,32,0,3,1,0.253,0.29,0.544,51,0.333
ellisma01,2012,415,62,107,21,1,7,31,40,70,0,7,0,0.333,0.364,0.697,94,0.323
ellisma01,2013,433,46,117,13,2,6,48,26,74,2,10,5,0.323,0.351,0.674,90,0.336
ellsbja01,2008,554,98,155,22,7,9,47,41,80,2,7,3,0.336,0.394,0.729,96,0.355
ellsbja01,2009,624,94,188,27,10,8,60,49,74,3,6,6,0.355,0.415,0.77,106,0.376
ellsbja01,2011,660,119,212,46,5,32,105,52,98,1,9,5,0.376,0.552,0.928,155,0.313
ellsbja01,2012,303,43,82,18,0,4,26,19,43,0,0,1,0.313,0.37,0.682,89,0.355
ellsbja01,2013,577,92,172,31,8,9,53,47,92,3,5,2,0.355,0.426,0.781,119,0.328
ellsbja01,2014,575,71,156,27,5,16,70,49,93,5,3,7,0.328,0.419,0.747,113,0.318
ellsbja01,2015,452,66,116,15,2,7,33,35,86,1,7,3,0.318,0.345,0.663,86,0.33
ellsbja01,2016,551,71,145,24,5,9,56,54,84,1,2,3,0.33,0.374,0.703,92,0.348
ellsbja01,2017,356,65,94,20,4,7,39,41,63,3,5,0,0.348,0.402,0.75,102,0.308
