playerID,yearID,AB,R,H,2B,3B,HR,RBI,BB,SO,IBB,HBP,SF,OBP,SLG,OPS,BAbip,lgOBP,lgSLG,OPS+
andruel01,2017,643,100,191,44,4,20,88,38,101,0,3,4,0.337,0.471,0.808,0.325,0.324,0.426,115
andruel01,2018,395,53,101,20,3,6,33,28,66,0,3,2,0.308,0.367,0.675,0.292,0.318,0.409,87
andujmi01,2018,573,83,170,47,2,27,92,25,97,2,4,4,0.328,0.527,0.855,0.316,0.318,0.409,132
ankieri01,2007,172,31,49,8,1,11,39,13,41,0,0,4,0.328,0.535,0.863,0.306,0.336,0.423,124
ankieri01,2008,413,65,109,21,2,25,71,42,100,3,5,3,0.337,0.506,0.843,0.289,0.333,0.416,123
ankieri01,2009,372,50,86,21,2,11,38,26,99,4,3,3,0.285,0.387,0.672,0.283,0.333,0.418,78
ankieri01,2010,119,17,25,6,1,2,9,19,42,2,1,0,0.324,0.328,0.651,0.307,0.325,0.403,81
ankieri01,2011,380,46,91,20,0,9,37,29,96,1,2,1,0.296,0.363,0.659,0.297,0.321,0.399,83
ankieri01,2012,158,15,36,10,2,5,15,12,59,3,0,0,0.282,0.411,0.694,0.33,0.319,0.405,90
aokino01,2012,520,81,150,37,4,10,50,43,55,1,13,5,0.355,0.433,0.787,0.304,0.319,0.405,118
aokino01,2013,597,80,171,20,3,8,37,55,40,1,11,3,0.356,0.37,0.726,0.295,0.318,0.396,105
aokino01,2014,491,63,140,22,6,1,43,43,49,0,6,1,0.349,0.36,0.71,0.314,0.314,0.386,104
aokino01,2015,355,42,102,12,3,5,26,30,25,0,6,0,0.353,0.38,0.733,0.298,0.317,0.405,105
aokino01,2016,417,63,118,24,4,4,28,34,45,0,9,1,0.349,0.388,0.738,0.309,0.322,0.417,101
aokino01,2017,202,28,55,12,1,2,19,15,29,1,2,4,0.323,0.371,0.694,0.303,0.324,0.426,87
aokino01,2017,102,16,29,7,1,0,8,13,10,0,1,0,0.371,0.373,0.743,0.315,0.324,0.426,102
arciafr01,2018,103,10,21,5,0,6,23,1,27,0,2,0,0.226,0.427,0.654,0.214,0.318,0.409,75
arciaor01,2016,201,21,44,10,3,4,17,15,47,0,0,0,0.273,0.358,0.631,0.267,0.322,0.417,71
arciaor01,2017,506,56,140,17,2,15,53,36,100,9,1,3,0.324,0.407,0.731,0.317,0.324,0.426,96
arciaor01,2018,348,32,82,16,0,3,30,15,87,0,1,1,0.268,0.307,0.576,0.305,0.318,0.409,59
arciaos01,2013,351,34,88,17,2,14,43,23,117,0,4,0,0.304,0.43,0.734,0.336,0.318,0.396,104
arciaos01,2014,372,46,86,16,3,20,57,31,127,4,6,1,0.3,0.452,0.752,0.292,0.314,0.386,113
arciaos01,2016,103,8,22,4,0,4,12,10,46,0,1,0,0.289,0.369,0.658,0.34,0.322,0.417,78
ardoida01,2005,210,28,48,10,0,6,22,20,69,2,9,2,0.32,0.362,0.681,0.307,0.33,0.419,83
ardoida01,2006,109,12,21,5,1,0,2,8,27,2,2,0,0.261,0.257,0.517,0.256,0.337,0.432,37
arenano01,2013,486,49,130,29,4,10,52,23,72,1,1,2,0.301,0.405,0.706,0.296,0.318,0.396,97
arenano01,2014,432,58,124,34,2,18,61,25,58,1,4,5,0.328,0.5,0.828,0.294,0.314,0.386,134
arenano01,2015,616,97,177,43,4,42,130,34,110,13,4,11,0.323,0.575,0.898,0.284,0.317,0.405,144
arenano01,2016,618,116,182,35,6,41,133,68,103,10,2,8,0.362,0.57,0.932,0.293,0.322,0.417,149
arenano01,2017,606,100,187,43,7,37,130,62,106,9,4,6,0.373,0.586,0.959,0.32,0.324,0.426,153
arenano01,2018,590,104,175,38,2,38,110,73,122,10,3,6,0.374,0.561,0.935,0.314,0.318,0.409,155
